#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
ca_Awatchtower_1;Watchtower;Tour de garde;;;;;x
ca_Awatchtower_2;Watchtower;Tour de garde;;;;;x
ca_Awatchtower_3;Watchtower;Tour de garde;;;;;x
ca_Awatchtower_4;Watchtower;Tour de garde;;;;;x
ca_Awatchtower_5;Watchtower;Tour de garde;;;;;x
ca_Awatchtower_6;Watchtower;Tour de garde;;;;;x
ca_Awatchtower_1_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;;x
ca_Awatchtower_2_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;;x
ca_Awatchtower_3_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;;x
ca_Awatchtower_4_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;;x
ca_Awatchtower_5_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;;x
ca_Awatchtower_6_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;;;;;;x
ca_elven_forge1;Noldor Forge;Forge des Noldor;;;;;;;x
ca_elven_forge2;Noldor Forge;Forge des Noldor;;;;;;;x
ca_elven_forge3;Noldor Forge;Forge des Noldor;;;;;;;x
ca_elven_forge_desc;Noldor Smiths produce fantastic items here, from jewelry to weaponry.;Les Forgerons Noldor vont pouvoir produire de nombreux artefacts ici.;;;;;;;x
#ca_healing;Elven House of Healing;Maison de Guérison Elfique;;;;;;;x
#ca_healing_desc;Elvish medicine is ancient and powerful;La Médecine elfique est ancienne et puissante.;;;;;;;x
ca_Anoldor_elite_1;Noldor Royal Barracks;Troupes d'Elite Noldor;;;;;;;x
ca_Anoldor_elite_2;Noldor Royal Barracks;Troupes d'Elite Noldor;;;;;;;x
ca_Anoldor_elite_3;Noldor Royal Barracks;Troupes d'Elite Noldor;;;;;;;x
ca_Anoldor_elite_4;Noldor Royal Barracks;Troupes d'Elite Noldor;;;;;;;x
ca_Anoldor_elite_5;Noldor Royal Barracks;Troupes d'Elite Noldor;;;;;;;x
ca_noldor_elite_desc;These special barracks train the finests warriors of the Noldor Kingdoms.;C'est ici que sont formés les élites des combattants Noldor.;;;;;;;x
ca_Anoldor_knights_1;Noldorin Knight Stables;Troupes d'Elite Noldor;;;;;;;x
ca_Anoldor_knights_2;Noldorin Knight Stables;Troupes d'Elite Noldor;;;;;;;x
ca_Anoldor_knights_3;Noldorin Knight Stables;Troupes d'Elite Noldor;;;;;;;x
ca_Anoldor_knights_4;Noldorin Knight Stables;Troupes d'Elite Noldor;;;;;;;x
ca_Anoldor_knights_5;Noldorin Knight Stables;Troupes d'Elite Noldor;;;;;;;x
ca_noldor_knights_desc;The Deep-Elves were known even amongst their kin in Valinor for their affinity with horses. The noblest of Noldor warriors charge into battle on barded warhorses, and can be found with their swords pledged to Noldo lords with nobility to match.;C'est ici que sont formés les élites des combattants Noldor.;;;;;;;x

