#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCnewkinstrife.1;Word reaches your ears that some of your vassals of old prestigious families do not consider your heir worthy, as the blood of Numenor is clearly weak in that individual. Hopefully it won't lead to a second kinstrife upon your death...; Word reaches your ears that some of your vassals of old prestigious families do not consider your heir worthy, as the blood of Numenor is clearly weak in that individual. Hopefully it won't lead to a second kinstrife upon your death...;;;;;;;;;;;;x
EVTOPTAnewkinstrife.1;How dare they!; How dare they!;;;;;;;;;;;;x
EVTOPTBnewkinstrife.1;We don't want a second kinstrife...; We don't want a second kinstrife...;;;;;;;;;;;;x
EVTDESCnewkinstrife.2;The former High King is dead, but many grumble at your lack of Numenorean ancestry; they are angry at what they call the debasement of the Royal Bloodline, and some openly say that they are better suited to rule than you... ; The former High King is dead, but many grumble at your lack of Numenorean ancestry; they are angry at what they call the debasement of the Royal Bloodline, and some openly say that they are better suited to rule than you... ;;;;;;;;;;;;x
EVTOPTAnewkinstrife.2;How dare they!; How dare they!;;;;;;;;;;;;x
EVTOPTBnewkinstrife.2;They better not try anything...; They better not try anything...;;;;;;;;;;;;x
EVTTITnewkinstrife.3;You are troubled; You are troubled;;;;;;;;;;;;x
EVTDESCnewkinstrife.3;The former High King is dead, but he married beneath his station, and his heir is not worthy of the throne of Elendil. Maybe there is another of the Royal House more... suitable?; The former High King is dead, but he married beneath his station, and his heir is not worthy of the throne of Elendil. Maybe there is another of the Royal House more... suitable?;;;;;;;;;;;;x
EVTOPTAnewkinstrife.3;Let's see if there is...; Let's see if there is...;;;;;;;;;;;;x
EVTOPTBnewkinstrife.3;No, I will not start another kinstrife!; No, I will not start another kinstrife!;;;;;;;;;;;;x
EVTTITnewkinstrife.4;You receive word; You receive word;;;;;;;;;;;;x
EVTDESCnewkinstrife.4;The former High King of Gondor is dead, but many nobles do not feel his heir worthy. You too are an heir of Kings, one more... suitable. They want you to take the throne. Do you accept?; The former High King of Gondor is dead, but many nobles do not feel his heir worthy. You too are an heir of Kings, one more... suitable. They want you to take the throne. Do you accept?;;;;;;;;;;;;x
EVTOPTAnewkinstrife.4;Yes, I was born to rule!; Yes, I was born to rule!;;;;;;;;;;;;x
EVTOPTBnewkinstrife.4;No, I will not plot against my liege!; No, I will not plot against my liege!;;;;;;;;;;;;x
EVTDESCnewkinstrife.5;Did you find an heir of the royal house willing to take the throne?; Did you find an heir of the royal house willing to take the throne?;;;;;;;;;;;;x
EVTOPTAnewkinstrife.5;Yes, all is well!; Yes, all is well!;;;;;;;;;;;;x
EVTOPTBnewkinstrife.5;No, I'll have to take it myself then...; No, I'll have to take it myself then...;;;;;;;;;;;;x
EVTTITnewkinstrife.6;A true heir is found!; A true heir is found!;;;;;;;;;;;;x
EVTDESCnewkinstrife.6;You receive word, there is another heir of high Numenorean blood, and is willing to take the throne! Do we send out word now to others who may feel like we do and join common cause?; You receive word, there is another heir of high Numenorean blood, and is willing to take the throne! Do we send out word now to others who may feel like we do and join common cause?;;;;;;;;;;;;x
EVTOPTAnewkinstrife.6;Yes, immediately!; Yes, immediately!;;;;;;;;;;;;x
EVTOPTBnewkinstrife.6;No, I changed my mind...; No, I changed my mind...;;;;;;;;;;;;x
EVTTITnewkinstrife.8;Some want a new ruler; Some want a new ruler;;;;;;;;;;;;x
